Rank,Title,Authors,Journal,Publication Year,GCS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,CitedPerYear
284,Implementation of real-time distributed control for discrete event robotic manufacturing systems using Petri nets,"Yasuda, G.",PROCEEDINGS OF THE SIXTEENTH INTERNATIONAL SYMPOSIUM ON ARTIFICIAL LIFE AND ROBOTICS (AROB 16TH '11),2011,1,0,0,0,0,0,1,0,0,0,0,0.16666666666666666
285,Design alternatives of intelligent camera system for check parts at the intelligent manufacturing-assembly cell,"Danisova, Nina; Ruzarovsky, Roman; Velisek, Karol","INFORMATION TECHNOLOGY FOR MANUFACTURING SYSTEMS II, PTS 1-3",2011,1,0,0,0,0,0,0,1,0,0,0,0.16666666666666666
286,Real-Time Data Driven Visual Simulation of Process Manufacturing: A Case Study,"Lu, Shaowen; Yue, Heng","2011 CHINESE CONTROL AND DECISION CONFERENCE, VOLS 1-6",2011,1,0,0,0,0,0,1,0,0,0,0,0.16666666666666666
287,A Study on Real-time Scheduling for Autonomous Distributed Manufacturing Systems,"Iwamura, Koji; Sugimura, Nobuhiro","IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN AND CYBERNETICS (SMC 2010)",2010,1,0,0,0,0,0,0,1,0,0,0,0.14285714285714285
288,Performance of real-time distributed arrival time control in assembly cell manufacturing systems,"Gong, Jun; Tang, Jiafu; Li, Qian","2010 CHINESE CONTROL AND DECISION CONFERENCE, VOLS 1-5",2010,1,0,0,0,0,0,1,0,0,0,0,0.14285714285714285
289,RFID-Enabled Real-Time Manufacturing Information Tracking Infrastructure for Extended Enterprises,"Zhang, Yingfeng; Jiang, Pingyu; Huang, George; Zhou, Guanghui; Zhao, Liping",PROCEEDINGS OF THE 6TH CIRP-SPONSORED INTERNATIONAL CONFERENCE ON DIGITAL ENTERPRISE TECHNOLOGY,2010,1,0,0,0,0,0,1,0,0,0,0,0.14285714285714285
290,Smart Process Manufacturing - A Vision of the Future,"Davis, James F.; Edgar, Thomas F.",DESIGN FOR ENERGY AND THE ENVIRONMENT,2010,1,0,0,0,0,0,0,0,0,0,1,0.14285714285714285
291,Active Metal-matrix Composites with Embedded Smart Materials by Ultrasonic Additive Manufacturing,"Hahnlen, Ryan; Dapino, Marcelo J.",INDUSTRIAL AND COMMERCIAL APPLICATIONS OF SMART STRUCTURES TECHNOLOGIES 2010,2010,1,0,0,0,0,0,0,0,0,0,1,0.14285714285714285
292,A Study on Real-Time Scheduling for Holonic Manufacturing Systems - Determination of Utility Values Based on Multi-agent Reinforcement Learning,"Iwamura, Koji; Mayumi, Norihisa; Tanimizu, Yoshitaka; Sugimura, Nobuhiro","HOLONIC AND MULTI-AGENT SYSTEMS FOR MANUFACTURING, PROCEEDINGS",2009,1,0,0,0,1,0,0,0,0,0,0,0.125
293,Performance Evaluation and Metrics for Perception in Intelligent Manufacturing,"Eastman, Roger; Hong, Tsai; Shi, Jane; Hanning, Tobias; Muralikrishnan, Bala; Young, S. Susan; Chang, Tommy",PERFORMANCE EVALUATION AND BENCHMARKING OF INTELLIGENT SYSTEMS,2009,1,0,0,0,0,0,0,0,0,0,1,0.125
294,iDiagnosis & Prognosis - An Intelligent Platform for Complex Manufacturing,"Zhou, Jun-hong; Zhang, Danhong; Arogeti, Shai Avraham; Luo, Ming; Wang, Dan Wei; Zhong, Zhao-wei","2009 IEEE/ASME INTERNATIONAL CONFERENCE ON ADVANCED INTELLIGENT MECHATRONICS, VOLS 1-3",2009,1,0,0,0,1,0,0,0,0,0,0,0.125
295,Real-time WIP Status Monitoring Model in Discrete Manufacturing Workshop,Wang Zhiguo; Xu Jiahong; Zhang Jun,"PROCEEDINGS OF THE 2009 WRI GLOBAL CONGRESS ON INTELLIGENT SYSTEMS, VOL I",2009,1,0,0,0,0,0,0,1,0,0,0,0.125
296,The Research on Proactive-reactive Scheduling Framework Based on Real-time Manufacturing Information,"Wu, L. H.; Chen, X.; Chen, X. D.; Chen, Q. X.","ADVANCES IN MATERIALS MANUFACTURING SCIENCE AND TECHNOLOGY XIII, VOL 1: ADVANCED MANUFACTURING TECHNOLOGY AND EQUIPMENT, AND MANUFACTURING SYSTEMS AND AUTOMATION",2009,1,0,0,0,0,1,0,0,0,0,0,0.125
297,CURRENT IMPULSES IN DESIGN METHODOLOGY FOR INTELLIGENT MANUFACTURING SYSTEMS,"Seminsky, Jaroslav; Wessely, Emil",ANNALS OF DAAAM FOR 2009 & PROCEEDINGS OF THE 20TH INTERNATIONAL DAAAM SYMPOSIUM,2009,1,0,0,0,0,0,0,0,0,1,0,0.125
298,Overview of the Intelligent Tools Selection in Manufacturing Process,"Wang, Yulin; Li, Jinlan; Zhang, Mei; Cui, Pengfei","2009 INTERNATIONAL FORUM ON COMPUTER SCIENCE-TECHNOLOGY AND APPLICATIONS, VOL 2, PROCEEDINGS",2009,1,0,0,0,0,1,0,0,0,0,0,0.125
299,An intelligent modeling and analysis method of manufacturing process using the first-order predicate logic,Wang Zhenwei; Du Pingan; Yu Yating,COMPUTERS & INDUSTRIAL ENGINEERING,2009,1,0,0,0,0,0,1,0,0,0,0,0.125
300,Using an Agent-Supported Simulation Environment for Intelligent Manufacturing Systems,"Ruiz, Nancy; Giret, Adriana; Botti, Vicente","HOLONIC AND MULTI-AGENT SYSTEMS FOR MANUFACTURING, PROCEEDINGS",2009,1,0,0,0,0,1,0,0,0,0,0,0.125
301,Semantic framework model-based intelligent information system integration mode for Manufacturing Enterprises,Wang Qifeng,"2008 INTERNATIONAL SYMPOSIUM ON INTELLIGENT INFORMATION TECHNOLOGY APPLICATION, VOL I, PROCEEDINGS",2008,1,0,0,0,0,0,0,0,0,0,1,0.1111111111111111
302,"Three-dimensional, real-time, and high-accuracy inline monitoring system for roll to roll manufacturing","Wang, Zhaoyang; Du, Hua; Park, Sb",2008 FLEXIBLE ELECTRONICS & DISPLAYS CONFERENCE AND EXHIBITION,2008,1,0,0,0,0,0,0,0,1,0,0,0.1111111111111111
303,Real-time scheduling method considering human operators in autonomous distributed manufacturing systems,"Iwamura, Koji; Kuwahara, Shinya; Tanimizu, Yoshitaka; Sugimura, Nobuhiro",MANUFACTURING SYSTEMS AND TECHNOLOGIES FOR THE NEW FRONTIER,2008,1,0,0,0,0,0,1,0,0,0,0,0.1111111111111111
304,Research on Intelligent Manufacturing System Based on Multi-Agent,"Guo, Qinglin; Zhang, Ming","INTELLIGENT ROBOTICS AND APPLICATIONS, PT II, PROCEEDINGS",2008,1,0,0,1,0,0,0,0,0,0,0,0.1111111111111111
305,Research on intelligent quality prediction system based on collaborative manufacturing,"Huang, Zhihui; Kan, Shulin; Yuan, Jing; Ren, Yizhou; Dong, Qiaoying; Wei, Yufeng","PROCEEDINGS OF THE 2008 12TH INTERNATIONAL CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK IN DESIGN, VOLS I AND II",2008,1,0,0,0,0,0,0,0,0,1,0,0.1111111111111111
306,Concurrent Intelligent Manufacturing Based on RFID,"Li, Zhekun; Li, Fuyu; Gao, Lei; Fan, Yujing",ADVANCED DESIGN AND MANUFACTURE TO GAIN A COMPETITIVE EDGE: NEW MANUFACTURING TECHNIQUES AND THEIR ROLE IN IMPROVING ENTERPRISE PERFORMANCE,2008,1,0,0,0,0,1,0,0,0,0,0,0.1111111111111111
307,THE IMPACT OF INTELLIGENT SYSTEMS OF MANUFACTURING ON CORPORATE SOCIAL RESPONSIBILITY: A CONCEPTUAL MODEL,"Ionescu, Sorin; Dumitrescu, Corina; Militaru, Gheorghe",ANNALS OF DAAAM FOR 2008 & PROCEEDINGS OF THE 19TH INTERNATIONAL DAAAM SYMPOSIUM,2008,1,0,0,1,0,0,0,0,0,0,0,0.1111111111111111
308,RELIABILITY OPTIMISATION FOR FLEXIBLE MANUFACTURING SYSTEM BY USING INTELLIGENT AGENTS,"Ciotea, Valentin Florin; Ciotea, Margareta; Rahau, Loredana",ANNALS OF DAAAM FOR 2008 & PROCEEDINGS OF THE 19TH INTERNATIONAL DAAAM SYMPOSIUM,2008,1,0,0,1,0,0,0,0,0,0,0,0.1111111111111111
309,Modeling and real-time scheduling of semiconductor manufacturing line based on simulation,"Wang, Zhongjie; Jiang, Xinhua; Wu, Qidi",BIO-INSPIRED COMPUTATIONAL INTELLIGENCE AND APPLICATIONS,2007,1,0,1,0,0,0,0,0,0,0,0,0.1
310,Production monitoring linked to object identification and tracking - A step towards real time manufacturing in automotive plants,"Sauer, Olaf",Digital Enterprise Technology: Perspectives and Future Challenges,2007,1,0,0,0,0,1,0,0,0,0,0,0.1
311,Novel process methodology of smart combi card (SCC) manufacturing for RFID/USN,"Kang, JeongJin; Yoo, HongJun; Lee, SungRok",UBIQUITOUS CONVERGENCE TECHNOLOGY,2007,1,0,0,0,0,0,0,1,0,0,0,0.1
312,A formal model for real-time automated manufacturing system control with Timed-MPSG,"Thapa, Devinder; Park, Jaeil; Park, Chang Mok; Wang, Gi-Nam; Shin, Donamin","2007 IEEE INTERNATIONAL SYMPOSIUM ON INDUSTRIAL ELECTRONICS, PROCEEDINGS, VOLS 1-8",2007,1,0,0,0,0,0,0,0,0,0,1,0.1
313,Intelligent design of diagnosable systems: A case study of semiconductor manufacturing machines,"Wen, YuanLin; Chung, ShengLuen; Jeng, LiDer; Jeng, MuDer","KNOWLEDGE-BASED INTELLIGENT INFORMATION AND ENGINEERING SYSTEMS: KES 2007 - WIRN 2007, PT II, PROCEEDINGS",2007,1,0,0,0,0,0,1,0,0,0,0,0.1
314,Advances in Multiobjective Hybrid Genetic Algorithms for Intelligent Manufacturing and Logistics Systems,"Gen, Mitsuo; Ida, Kenichi","ACTIVE MEDIA TECHNOLOGY, AMT 2013",2013,0,0,0,0,0,0,0,0,0,0,0,0.0
315,MIRA: Enabler of Mass Customization through Agent-Based Development of Intelligent Manufacturing Systems,"Sorouri, Majid; Vyatkin, Valeriy; Salcic, Zoran",2014 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),2014,0,0,0,0,0,0,0,0,0,0,0,0.0
316,MANUFACTURING SCHEDULING FOR ENERGY COST REDUCTION IN A SMART GRID SCENARIO,"Zhang, Hao; Zhao, Fu; Sutherland, John W.","PROCEEDINGS OF THE ASME 9TH INTERNATIONAL MANUFACTURING SCIENCE AND ENGINEERING CONFERENCE, 2014, VOL 1",2014,0,0,0,0,0,0,0,0,0,0,0,0.0
317,Flexible Software solution for intelligent multi-agent manufacturing systems,"Mansour, Wassim; Jelassi, Khaled",2014 INTERNATIONAL CONFERENCE ON ELECTRICAL SCIENCES AND TECHNOLOGIES IN MAGHREB (CISTEM),2014,0,0,0,0,0,0,0,0,0,0,0,0.0
318,SHORT-INTERVAL EXPOSITORY REAL-TIME SCHEDULING OF SEMICONDUCTOR MANUFACTURING WITH MIXED INTEGER PROGRAMMING,"Ham, Myoungsoo (Andy); Choi, Siyoung",PROCEEDINGS OF THE 2014 WINTER SIMULATION CONFERENCE (WSC),2014,0,0,0,0,0,0,0,0,0,0,0,0.0
319,INTEGRATED REAL-TIME EVENT BASED COST MODELING OF BATTERY MANUFACTURING SYSTEM,"Li, Yang; Chang, Qing","PROCEEDINGS OF THE ASME 9TH INTERNATIONAL MANUFACTURING SCIENCE AND ENGINEERING CONFERENCE, 2014, VOL 1",2014,0,0,0,0,0,0,0,0,0,0,0,0.0
320,\ The Latest Progress of Intelligent Manufacturing Reviews,"Zhu, Zheng Hong; Wang, Bao Yin",APPLIED MECHATRONICS AND ANDROID ROBOTICS,2013,0,0,0,0,0,0,0,0,0,0,0,0.0
321,OPTIMAL MACHINING PARAMETER SELECTION BASED ON REAL-TIME MACHINE MONITORING USING IEC 61499 FUNCTION BLOCKS FOR USE IN A CLOUD MANUFACTURING ENVIRONMENT: A CASE STUDY FOR FACE MILLING,"Tapoglou, Nikolaos; Mehnen, Joern; Doukas, Michael; Mourtzis, Dimitris","PROCEEDINGS OF THE ASME 9TH INTERNATIONAL MANUFACTURING SCIENCE AND ENGINEERING CONFERENCE, 2014, VOL 1",2014,0,0,0,0,0,0,0,0,0,0,0,0.0
322,INTELLIGENT USER INTERFACE IN CLOUD MANUFACTURING,"Ren, Lei; Zhang, Lin; Hou, Baocun; Wu, Qiong; Teng, Dongxing","PROCEEDINGS OF THE ASME 9TH INTERNATIONAL MANUFACTURING SCIENCE AND ENGINEERING CONFERENCE, 2014, VOL 1",2014,0,0,0,0,0,0,0,0,0,0,0,0.0
323,Design of Gripper Types for an Intelligent Manufacturing - Assembly Cell,"Danisova, Nina; Ruzarovsky, Roman; Velisek, Karol","WORLD CONGRESS ON ENGINEERING AND COMPUTER SCIENCE, WCECS 2013, VOL II",2013,0,0,0,0,0,0,0,0,0,0,0,0.0
324,"DIAMOND, LEAN INNOVATION AND INTELLIGENT ENERGY FIELD MANUFACTURING","Zhang, Wenwu; Jiang, Nan; Zhang, Tianrun; Zhan, JunAn","PROCEEDINGS OF THE ASME 9TH INTERNATIONAL MANUFACTURING SCIENCE AND ENGINEERING CONFERENCE, 2014, VOL 2",2014,0,0,0,0,0,0,0,0,0,0,0,0.0
325,Smart Optical Writing Head Design for Laser-Based Manufacturing,"Amin, M. Junaid; Riza, Nabeel A.",LASER APPLICATIONS IN MICROELECTRONIC AND OPTOELECTRONIC MANUFACTURING (LAMOM) XIX,2014,0,0,0,0,0,0,0,0,0,0,0,0.0
326,Manufacturing Challenges in other Industries - here the Steel Industry Mission Smart Production,"Brummayer, Markus; Fuchshumer, Stefan",PROCEEDINGS OF THE 2014 44TH EUROPEAN SOLID-STATE DEVICE RESEARCH CONFERENCE (ESSDERC 2014),2014,0,0,0,0,0,0,0,0,0,0,0,0.0
327,Optimal Welding Parameters for Very High Power Ultrasonic Additive Manufacturing of Smart Structures with Aluminum 6061 Matrix,"Wolcott, Paul J.; Hehr, Adam; Dapino, Marcelo J.",INDUSTRIAL AND COMMERCIAL APPLICATIONS OF SMART STRUCTURES TECHNOLOGIES 2014,2014,0,0,0,0,0,0,0,0,0,0,0,0.0
328,Smart Equipment and Virtual Resources trigger Network Principles in Manufacturing,"Kuehnle, H.","2014 INTERNATIONAL CONFERENCE ON MANUFACTURING, OPTIMIZATION, INDUSTRIAL AND MATERIAL ENGINEERING (MOIME 2014)",2014,0,0,0,0,0,0,0,0,0,0,0,0.0
329,Environment Control Model of Intelligent Plant Factory Using Context Based of Sensing Data,"Bae, NamJin; Kwak, KyungHun; Cho, YongYun",FRONTIER AND INNOVATION IN FUTURE COMPUTING AND COMMUNICATIONS,2014,0,0,0,0,0,0,0,0,0,0,0,0.0
330,7th International Symposium on Advanced Optical Manufacturing and Testing Technologies Smart Structures and Materials for Manufacturing and Testing Abstracts,"Yang, Li",7TH INTERNATIONAL SYMPOSIUM ON ADVANCED OPTICAL MANUFACTURING AND TESTING TECHNOLOGIES: SMART STRUCTURES AND MATERIALS FOR MANUFACTURING AND TESTING,2014,0,0,0,0,0,0,0,0,0,0,0,0.0
331,Intelligent Open Architecture Solutions for Holonic Manufacturing Execution Systems Domain Key Technologies for Manufacturing perspective,"Varvara, Gabriela","2014 IEEE INTERNATIONAL CONFERENCE ON AUTOMATION, QUALITY AND TESTING, ROBOTICS",2014,0,0,0,0,0,0,0,0,0,0,0,0.0
332,"VISIONS, CONCEPTS AND STRATEGIES FOR SMART NITINOL ACTUATORS AND COMPLEX NITINOL STRUCTURES PRODUCED BY ADDITIVE MANUFACTURING","Haberland, Christoph; Elahinia, Mohammad; Walker, Jason; Meier, Horst","PROCEEDINGS OF THE ASME CONFERENCE ON SMART MATERIALS, ADAPTIVE STRUCTURES, AND INTELLIGENT SYSTEMS - 2013, VOL 1",2014,0,0,0,0,0,0,0,0,0,0,0,0.0
333,An Intelligent Manufacturing System Based on WSN and RFID in Industrial Plants,"Cui, Zhongwei; Zhao, Yong; Yuan, Hui","APPLIED SCIENCE, MATERIALS SCIENCE AND INFORMATION TECHNOLOGIES IN INDUSTRY",2014,0,0,0,0,0,0,0,0,0,0,0,0.0
334,BUILDING THE GREEN-SMART WAY: EXPLORING CONDITIONS FOR GREEN AND SMART FURNITURE MANUFACTURING FOR PEOPLE IN THE THIRD AGE,"Papadopoulos, Ioannis; Trigkas, Marios; Karagouni, Glykeria; Papadopoulou, Aikaterini; Moraiti, Vasiliki; Tripolitsioti, Aikaterini; Platogianni, Evanthia",FUTURE OF ENTREPRENEURSHIP,2014,0,0,0,0,0,0,0,0,0,0,0,0.0
335,LINKED PRODUCT AND PROCESS MONITORING IN SMART FACTORIES BASED ON FEDERATIVE FACTORY DATA MANAGEMENT,"Picard, Andre; Anderl, Reiner; Schuetzer, Klaus; de Assis Moura, Antonio Alvaro","PROCEEDINGS OF THE ASME INTERNATIONAL MECHANICAL ENGINEERING CONGRESS AND EXPOSITION, 2013, VOL 11",2014,0,0,0,0,0,0,0,0,0,0,0,0.0
336,WYPIWYE automation systems - an intelligent manufacturing system case study,"Park, HeeJong; Malik, Avinash; Salcic, Zoran",2014 IEEE EMERGING TECHNOLOGY AND FACTORY AUTOMATION (ETFA),2014,0,0,0,0,0,0,0,0,0,0,0,0.0
337,Multitasking Robot-Vision for Supply Holon Execution in Intelligent Manufacturing,"Borangiu, Theodor; Raileanu, Silviu; Ivanescu, Nick; Stocklosa, Octavian; Morariu, Octavian",2014 23RD INTERNATIONAL CONFERENCE ON ROBOTICS IN ALPE-ADRIA-DANUBE REGION (RAAD),2014,0,0,0,0,0,0,0,0,0,0,0,0.0
338,Real-time Production Scheduling Method for Automobile Engine Remanufacturing Based on the Internet of Manufacturing Things,Zhang Yingfeng; Liu Sichao; Liu Yang; Li Miao,"PROCEEDINGS OF THE 11TH INTERNATIONAL CONFERENCE ON INNOVATION AND MANAGEMENT, VOLS I AND II",2014,0,0,0,0,0,0,0,0,0,0,0,0.0
339,A Method for Real-Time Aggregation of a Product Footprint during Manufacturing,"Smolek, Peter; Leobner, Ines; Heinzl, Bernhard; Gourlis, Georgios; Ponweiser, Karl",JOURNAL OF SUSTAINABLE DEVELOPMENT OF ENERGY WATER AND ENVIRONMENT SYSTEMS-JSDEWES,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
340,Renewable Energies in Smart Factories with Electric Vehicle Fleets,"Maasmann, J.; Boecker, S.; Rettberg, F.; Wietfeld, C.; Rehtanz, C.",2014 49TH INTERNATIONAL UNIVERSITIES POWER ENGINEERING CONFERENCE (UPEC),2014,0,0,0,0,0,0,0,0,0,0,0,0.0
341,Service Model and Service Selection Strategies for Cross-regional Intelligent Manufacturing,"Chen, Xinye; Zhang, Ping; Liang, Weile; Li, Fang","INDUSTRIAL IOT TECHNOLOGIES AND APPLICATIONS, INDUSTRIAL IOT 2016",2016,0,0,0,0,0,0,0,0,0,0,0,0.0
342,"Interplay Between Sustainable Development, Knowledge Society, and Smart Future Manufacturing Technologies in EU RTD Policy Documents, in the Work Program of FP7 and Horizon 2020","Ubelis, Arnolds; Berzina, Dina","SUSTAINABLE DEVELOPMENT, KNOWLEDGE SOCIETY AND SMART FUTURE MANUFACTURING TECHNOLOGIES",2015,0,0,0,0,0,0,0,0,0,0,0,0.0
343,Research on Multi-Agent System in Intelligent Manufacturing with Enterprise Alliance,Chen Yunqing; Zhou Guoqiang,"2015 INTERNATIONAL CONFERENCE ON INDUSTRIAL INFORMATICS - COMPUTING TECHNOLOGY, INTELLIGENT TECHNOLOGY, INDUSTRIAL INFORMATION INTEGRATION (ICIICII)",2015,0,0,0,0,0,0,0,0,0,0,0,0.0
344,SMART (SHRINK MANUFACTURING ADVANCED RESEARCH TOOLS),"Lin, Sophia; Lee, Eugene; Pegan, Jonathan; Sharma, Himanshu; Khine, Michelle","2015 TRANSDUCERS - 2015 18TH INTERNATIONAL CONFERENCE ON SOLID-STATE SENSORS, ACTUATORS AND MICROSYSTEMS (TRANSDUCERS)",2015,0,0,0,0,0,0,0,0,0,0,0,0.0
345,Intelligent Sensitivity Tracking of Manufacturing Tool Tuning,"Chuang, C. J.; Ho, C. T.; Tsai, P. F.; Liu, W. P.; Hsieh, C. R.; Mou, J. I.",2015 Joint e-Manufacturing and Design Collaboration Symposium (eMDC) & 2015 International Symposium on Semiconductor Manufacturing (ISSM),2015,0,0,0,0,0,0,0,0,0,0,0,0.0
346,An Agent-based Real Time Scheduling System for Mix-flow Manufacturing,"Ni, Yanting",2015 International Conference on Computer and Computational Sciences (ICCCS),2015,0,0,0,0,0,0,0,0,0,0,0,0.0
347,Dynamic Scheduling of Diffusion Furnace in Semiconductor Manufacturing with Real Time Events,"Rani, M. Vimala; Mathirajan, M.",2015 IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL ENGINEERING AND ENGINEERING MANAGEMENT (IEEM),2015,0,0,0,0,0,0,0,0,0,0,0,0.0
348,A Swarm of Cognitive Agents for Controlling Smart Manufacturing Systems,"Park, Hong-Seok; Ur, Rehman Rana Zia; Ngoc-Hien Tran",2015 11TH INTERNATIONAL CONFERENCE ON NATURAL COMPUTATION (ICNC),2015,0,0,0,0,0,0,0,0,0,0,0,0.0
349,Reliability Evaluation of Intelligent Manufacturing Equipment,"Liu, Zhixiang; Liu, Jie",2015 11TH INTERNATIONAL CONFERENCE ON NATURAL COMPUTATION (ICNC),2015,0,0,0,0,0,0,0,0,0,0,0,0.0
350,An Adaptive Process Planning Method Based on Features and Intelligent Agents for the Manufacturing of Large-Scale Parts,"Liu, Changqing; Li, Yingguang; Shao, Wenyao; Shen, Weiming",IFAC PAPERSONLINE,2015,0,0,0,0,0,0,0,0,0,0,0,0.0
351,Enhancing Automated Defect Detection in Collagen Based Manufacturing by Employing a Smart Machine Vision Technique,"Williams, Christopher D.; Paul, Manoranjan; Debnath, Tanmoy",IMAGE AND VIDEO TECHNOLOGY - PSIVT 2015 WORKSHOPS,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
352,Defective Product Research of Intelligent Manufacturing Oriented to MC-VE,"Li, Guangrong; Ge, Yingfei; Wang, Yunxia; Hu, Shengping",IAEDS15: INTERNATIONAL CONFERENCE IN APPLIED ENGINEERING AND MANAGEMENT,2015,0,0,0,0,0,0,0,0,0,0,0,0.0
353,NOVEL DEVELOPMENTS IN ADVANCED MANUFACTURING AND MULTI FUNCTIONAL INTELLIGENT FACTORIES (MFIF) TOWARDS PRODUCTION IN THE FUTURE - CHALLENGES OF AUTONOMATION IN INDUSTRY 4.0,"Durakbasa, M. N.; Bauer, J. M.; Kraeuter, L.; Bas, G.","2016 INTERNATIONAL CONFERENCE ON PRODUCTION RESEARCH - REGIONAL CONFERENCE AFRICA, EUROPE AND THE MIDDLE EAST (ICPR-AEM 2016) AND 4TH INTERNATIONAL CONFERENCE ON QUALITY AND INNOVATION IN ENGINEERING AND MANAGEMENT (QIEM 2016)",2016,0,0,0,0,0,0,0,0,0,0,0,0.0
354,Optimisation of advanced manufacturing environments with integrated intelligent Exoskeletons,"Constantinescu, C. L.; Popescu, D.; Muresan, P. C.; Todorovic, O.","2016 INTERNATIONAL CONFERENCE ON PRODUCTION RESEARCH - REGIONAL CONFERENCE AFRICA, EUROPE AND THE MIDDLE EAST (ICPR-AEM 2016) AND 4TH INTERNATIONAL CONFERENCE ON QUALITY AND INNOVATION IN ENGINEERING AND MANAGEMENT (QIEM 2016)",2016,0,0,0,0,0,0,0,0,0,0,0,0.0
355,Smart Manufacturing and Supply Chain Management,"Lin, Yong; Ieromonachou, Petros; Sun, Wenxian","2016 INTERNATIONAL CONFERENCE ON LOGISTICS, INFORMATICS AND SERVICE SCIENCES (LISS' 2016)",2016,0,0,0,0,0,0,0,0,0,0,0,0.0
356,An Intelligent Matching System for the Products of Small Business/Manufactures with the Celebrities,"Jeong, Junho; Son, Yunsik; Ko, Seokhoon; Oh, Seman","2016 7TH INTERNATIONAL CONFERENCE ON MECHANICAL, INDUSTRIAL, AND MANUFACTURING TECHNOLOGIES (MIMT 2016)",2016,0,0,0,0,0,0,0,0,0,0,0,0.0
357,PLM in a Didactic Environment: The Path to Smart Factory,"Mora-Orozco, Julian; Guarin-Grisales, Alvaro; Sauza-Bedolla, Joel; D'Antonio, Gianluca; Chiabert, Paolo","PRODUCT LIFECYCLE MANAGEMENT IN THE ERA OF INTERNET OF THINGS, PLM 2015",2016,0,0,0,0,0,0,0,0,0,0,0,0.0
358,KNOWLEDGE MANAGEMENT WITH AN INTELLIGENT TOOL FOR ADDITIVE MANUFACTURING,"Eddy, Douglas; Krishnamurty, Sundar; Grosse, Ian; Perham, Maxwell; Wileden, Jack; Ameri, Farhad","INTERNATIONAL DESIGN ENGINEERING TECHNICAL CONFERENCES AND COMPUTERS AND INFORMATION IN ENGINEERING CONFERENCE, 2015, VOL 1A",2016,0,0,0,0,0,0,0,0,0,0,0,0.0
359,Research on Real-Time Cost Control in Factory in IT Environment,"Pan, Yu-xiang; Qi, Er-shi; An, Dan",PROCEEDINGS OF THE 22ND INTERNATIONAL CONFERENCE ON INDUSTRIAL ENGINEERING AND ENGINEERING MANAGEMENT: INNOVATION AND PRACTICE IN INDUSTRIAL ENGINEERING AND MANAGEMENT (VOL 2),2016,0,0,0,0,0,0,0,0,0,0,0,0.0
360,Networked Engineering Notebooks for Smart Manufacturing,"Denno, Peter; Dickerson, Charles; Harding, Jennifer",ADVANCES IN MANUFACTURING TECHNOLOGY XXX,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
361,Intelligent Manufacturing System for Next Generation Factories,"Rajora, M.; Zou, P.; Liang, S. Y.",PROCEEDINGS OF THE 2015 INTERNATIONAL CONFERENCE ON MECHANICAL SCIENCE AND ENGINEERING,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
362,Research on the Countermeasures of Intelligent Upgrade for Chinese Traditional Manufacturing,"Shen, Ping; Bi, Taifu","2015 3RD INTERNATIONAL CONFERENCE ON ADVANCES IN SOCIAL SCIENCE, HUMANITIES, AND MANAGEMENT, ASSHM 2015",2015,0,0,0,0,0,0,0,0,0,0,0,0.0
363,A Context-Aware Assistance System for Maintenance Applications in Smart Factories based on Augmented Reality and Indoor Localization,"Flatt, Holger; Koch, Nils; Roecker, Carsten; Guenter, Andrei; Jasperneite, Juergen",PROCEEDINGS OF 2015 IEEE 20TH CONFERENCE ON EMERGING TECHNOLOGIES & FACTORY AUTOMATION (ETFA),2015,0,0,0,0,0,0,0,0,0,0,0,0.0
364,INTELLIGENT RESIN DELIVERY SYSTEM FOR MANUFACTURING LARGE COMPOSITE STRUCTURES,"Yuksel, Tolga; Stockton, Daniel; Marshall, Paul; Kim, Dave; Gurocak, Hakan","PROCEEDINGS OF THE ASME INTERNATIONAL MECHANICAL ENGINEERING CONGRESS AND EXPOSITION, 2014, VOL 2B",2014,0,0,0,0,0,0,0,0,0,0,0,0.0
365,Research on Mechanical Manufacturing with Construction of Obstacle Avoidance System for Intelligent Vehicle,Lv Xueyan; Zhang Yajun; Pan Ri; Zhuang Jian,3RD INTERNATIONAL CONFERENCE ON ADVANCED COMPOSITE MATERIALS AND MANUFACTURING ENGINEERING (CMME 2015),2015,0,0,0,0,0,0,0,0,0,0,0,0.0
366,Positioning Systems Advances Could Herald Smart Factory Era Optical positioning systems could be at the forefront of carrying factories into the fourth industrial revolution,"Freebody, Marie",PHOTONICS SPECTRA,2014,0,0,0,0,0,0,0,0,0,0,0,0.0
367,Moving toward Smarter Factories,[Anonymous],MANUFACTURING ENGINEERING,2014,0,0,0,0,0,0,0,0,0,0,0,0.0
368,Research on an Intelligent Manufacturing System for Tokamak Machine,"Zhang, Ruonan; Liu, Xinbao; Liu, Lin; Zhang, Xiazi",JOURNAL OF FUSION ENERGY,2014,0,0,0,0,0,0,0,0,0,0,0,0.0
